DISTRICT;<50;51-80;81-129;>130;Durchschnitt
1. Innere Stadt;23,79;20,06;19,91;24,02;21,23
2. Leopoldstadt;21,49;19,05;20,14;14,52;19,83
3. Landstraße;19,50;16,27;15,95;15,23;16,95
4. Wieden;17,87;15,28;14,83;15,70;15,68
5. Margareten;16,65;14,48;13,89;17,13;15,03
6. Mariahilf;20,03;15,21;17,16;16,82;17,22
7. Neubau;17,63;15,32;15,03;15,65;15,92
8. Josefstadt;17,36;15,10;16,54;17,60;16,22
9. Alsergrund;18,55;15,80;16,35;17,29;16,89
10. Favoriten;17,80;14,93;15,05;17,15;16,06
11. Simmering;17,22;16,56;13,85;k.A.;17,04
12. Meidling;16,78;14,53;14,80;16,00;15,50
13. Hietzing;15,68;15,32;14,43;15,48;15,27
14. Penzing;17,56;14,64;13,96;10,35;15,98
15. Rudolfsheim-Fünfhaus;16,09;14,39;14,27;11,50;14,69
16. Ottakring;16,83;13,72;13,06;14,46;15,27
17. Hernals;16,33;13,28;12,91;15,36;14,25
18. Währing;17,70;14,22;17,57;17,36;16,15
19. Döbling;17,34;15,77;15,38;19,02;16,47
20. Brigittenau;18,53;15,42;13,47;k.A.;16,95
21. Floridsdorf;16,66;15,39;14,12;10,08;15,93
22. Donaustadt;17,24;16,47;15,19;14,95;16,69
23. Liesing;18,26;17,24;15,72;16,57;17,30
